timestamp,mode,ldr,light,voltage,current,power,fault,fault_name,pwm
63608,NIGHT,11,1,11.78,0.268,3.161,0,NORMAL,255
64618,NIGHT,8,0,11.88,0.226,2.685,0,NORMAL,255
65628,NIGHT,8,0,11.61,0.253,2.931,0,NORMAL,255
66637,NIGHT,11,1,11.51,0.242,2.785,0,NORMAL,255
67647,NIGHT,8,0,11.85,0.226,2.68,0,NORMAL,255
68657,NIGHT,11,1,11.83,0.266,3.143,0,NORMAL,255
69666,NIGHT,10,0,11.73,0.234,2.745,0,NORMAL,255
70676,NIGHT,10,0,11.83,0.221,2.612,0,NORMAL,255
71686,NIGHT,8,0,11.85,0.25,2.962,0,NORMAL,255
72695,NIGHT,11,1,11.61,0.245,2.839,0,NORMAL,255
73705,NIGHT,10,0,11.85,0.239,2.837,0,NORMAL,255
74716,NIGHT,9,0,11.71,0.229,2.678,0,NORMAL,255
75725,NIGHT,11,1,11.85,0.253,2.993,0,NORMAL,255
76735,NIGHT,8,0,11.71,0.242,2.832,0,NORMAL,255
77745,NIGHT,11,1,11.83,0.234,2.768,0,NORMAL,255
78754,NIGHT,9,0,11.78,0.226,2.663,0,NORMAL,255
79764,NIGHT,11,1,11.73,0.319,3.737,0,NORMAL,255
80774,NIGHT,10,0,11.73,0.263,3.086,0,NORMAL,255
81783,NIGHT,11,1,11.83,0.274,3.237,0,NORMAL,255
82793,NIGHT,11,1,11.85,0.245,2.899,0,NORMAL,255
83803,NIGHT,11,1,11.78,0.242,2.85,0,NORMAL,255
84812,NIGHT,11,1,11.75,0.242,2.844,0,NORMAL,255
85822,NIGHT,11,1,11.78,0.266,3.13,0,NORMAL,255
86832,NIGHT,8,0,11.83,0.237,2.799,0,NORMAL,255
87841,NIGHT,11,1,11.83,0.258,3.049,0,NORMAL,255
88851,NIGHT,9,0,11.51,0.26,2.998,0,NORMAL,255
89861,NIGHT,9,0,11.88,0.247,2.937,0,NORMAL,255
90870,NIGHT,9,0,11.78,0.239,2.819,0,NORMAL,255
91880,NIGHT,11,1,11.53,0.239,2.761,0,NORMAL,255
92890,NIGHT,9,0,11.8,0.25,2.95,0,NORMAL,255
93899,NIGHT,11,1,11.56,0.258,2.98,0,NORMAL,255
94909,NIGHT,11,1,11.83,0.253,2.987,0,NORMAL,255
95919,NIGHT,10,0,11.8,0.26,3.074,0,NORMAL,255
96928,NIGHT,10,0,11.8,0.234,2.762,0,NORMAL,255
97938,NIGHT,11,1,11.85,0.255,3.024,0,NORMAL,255
98948,NIGHT,9,0,11.71,0.231,2.709,0,NORMAL,255
99957,NIGHT,9,0,11.73,0.26,3.055,0,NORMAL,255
100967,NIGHT,11,1,11.78,0.231,2.726,0,NORMAL,255
101977,NIGHT,11,1,11.78,0.245,2.881,0,NORMAL,255
102986,NIGHT,11,1,11.73,0.255,2.993,0,NORMAL,255
103996,NIGHT,11,1,11.75,0.255,2.999,0,NORMAL,255
105006,NIGHT,11,1,11.61,0.255,2.962,0,NORMAL,255
106015,NIGHT,11,1,11.75,0.29,3.403,0,NORMAL,255
107025,NIGHT,9,0,11.83,0.247,2.924,0,NORMAL,255
108036,NIGHT,10,0,11.88,0.268,3.188,0,NORMAL,255
109045,NIGHT,10,0,11.8,0.205,2.419,0,NORMAL,255
110055,NIGHT,11,1,11.78,0.237,2.788,0,NORMAL,255
111065,NIGHT,11,1,11.46,0.26,2.985,0,NORMAL,255
112074,NIGHT,8,0,11.85,0.242,2.868,0,NORMAL,255
113084,NIGHT,10,0,11.8,0.245,2.887,0,NORMAL,255
114094,NIGHT,10,0,11.83,0.279,3.299,0,NORMAL,255
115103,NIGHT,11,1,11.73,0.263,3.086,0,NORMAL,255
116113,NIGHT,11,1,11.83,0.268,3.174,0,NORMAL,255
117123,NIGHT,11,1,11.78,0.234,2.757,0,NORMAL,255
118132,NIGHT,10,0,11.58,0.242,2.803,0,NORMAL,255
119142,NIGHT,11,1,11.88,0.223,2.654,0,NORMAL,255
120152,NIGHT,11,1,11.83,0.253,2.987,0,NORMAL,255
121161,NIGHT,11,1,11.8,0.253,2.981,0,NORMAL,255
122171,NIGHT,10,0,11.83,0.282,3.331,0,NORMAL,255
123181,NIGHT,11,1,11.88,0.231,2.748,0,NORMAL,255
124190,NIGHT,11,1,11.88,0.226,2.685,0,NORMAL,255
125200,NIGHT,10,0,11.83,0.263,3.112,0,NORMAL,255
126210,NIGHT,10,0,11.68,0.242,2.826,0,NORMAL,255
127219,NIGHT,9,0,11.83,0.242,2.862,0,NORMAL,255
128229,NIGHT,11,1,11.88,0.239,2.842,0,NORMAL,255
129239,NIGHT,11,1,11.8,0.263,3.105,0,NORMAL,255
130248,NIGHT,10,0,11.78,0.25,2.943,0,NORMAL,255
131258,NIGHT,8,0,11.68,0.245,2.857,0,NORMAL,255
132268,NIGHT,8,0,11.68,0.229,2.672,0,NORMAL,255
133277,NIGHT,11,1,11.83,0.245,2.893,0,NORMAL,255
134287,NIGHT,11,1,11.75,0.237,2.782,0,NORMAL,255
135298,NIGHT,11,1,11.83,0.258,3.049,0,NORMAL,255
136307,NIGHT,11,1,11.9,0.229,2.722,0,NORMAL,255
137317,NIGHT,11,1,11.63,0.268,3.122,0,NORMAL,255
138327,NIGHT,11,1,11.8,0.231,2.731,0,NORMAL,255
139336,NIGHT,11,1,11.85,0.242,2.868,0,NORMAL,255
140346,NIGHT,10,0,11.8,0.29,3.417,0,NORMAL,255
141356,NIGHT,10,0,11.83,0.239,2.831,0,NORMAL,255
142365,NIGHT,11,1,11.8,0.237,2.794,0,NORMAL,255
143375,NIGHT,10,0,11.85,0.268,3.181,0,NORMAL,255
144385,NIGHT,12,1,11.73,0.263,3.086,0,NORMAL,255
145394,NIGHT,9,0,11.83,0.237,2.799,0,NORMAL,255
146404,NIGHT,9,0,11.73,0.253,2.962,0,NORMAL,255
147414,NIGHT,11,1,11.85,0.234,2.774,0,NORMAL,255
148423,NIGHT,11,1,11.71,0.226,2.647,0,NORMAL,255
149433,NIGHT,11,1,11.53,0.282,3.248,0,NORMAL,255
150443,NIGHT,11,1,11.85,0.255,3.024,0,NORMAL,255
151452,NIGHT,10,0,11.85,0.25,2.962,0,NORMAL,255
152462,NIGHT,9,0,11.75,0.231,2.72,0,NORMAL,255
153472,NIGHT,11,1,11.75,0.234,2.751,0,NORMAL,255
154481,NIGHT,11,1,11.83,0.276,3.268,0,NORMAL,255
155491,NIGHT,11,1,11.71,0.263,3.08,0,NORMAL,255
156502,NIGHT,10,0,11.83,0.242,2.862,0,NORMAL,255
157510,NIGHT,11,1,11.75,0.255,2.999,0,NORMAL,255
158520,NIGHT,11,1,11.63,0.253,2.938,0,NORMAL,255
159529,NIGHT,11,1,11.83,0.29,3.424,0,NORMAL,255
160540,NIGHT,11,1,11.58,0.26,3.017,0,NORMAL,255
161550,NIGHT,11,1,11.56,0.25,2.889,0,NORMAL,255
162560,NIGHT,11,1,11.88,0.276,3.282,0,NORMAL,255
163569,NIGHT,10,0,11.61,0.255,2.962,0,NORMAL,255
164579,NIGHT,11,1,11.83,0.2,2.362,0,NORMAL,255
165588,NIGHT,11,1,11.75,0.226,2.658,0,NORMAL,255
166598,NIGHT,11,1,11.8,0.25,2.95,0,NORMAL,255
167608,NIGHT,11,1,11.66,0.247,2.882,0,NORMAL,255
168617,NIGHT,10,0,11.75,0.186,2.192,0,NORMAL,255
169627,NIGHT,11,1,11.78,0.287,3.379,0,NORMAL,255
170637,NIGHT,9,0,11.75,0.258,3.031,0,NORMAL,255
171646,NIGHT,11,1,11.61,0.253,2.931,0,NORMAL,255
172657,NIGHT,11,1,11.88,0.25,2.968,0,NORMAL,255
173667,NIGHT,10,0,11.83,0.258,3.049,0,NORMAL,255
174676,NIGHT,11,1,11.56,0.274,3.163,0,NORMAL,255
175686,NIGHT,11,1,11.75,0.242,2.844,0,NORMAL,255
176696,NIGHT,9,0,11.75,0.271,3.186,0,NORMAL,255
177705,NIGHT,11,1,11.58,0.258,2.986,0,NORMAL,255
178714,NIGHT,11,1,11.83,0.253,2.987,0,NORMAL,255
179724,NIGHT,9,0,11.85,0.21,2.492,0,NORMAL,255
180733,NIGHT,11,1,11.83,0.247,2.924,0,NORMAL,255
181744,NIGHT,11,1,11.78,0.263,3.099,0,NORMAL,255
182754,NIGHT,11,1,11.85,0.237,2.805,0,NORMAL,255
183763,NIGHT,8,0,11.75,0.253,2.968,0,NORMAL,255
184773,NIGHT,11,1,11.75,0.223,2.627,0,NORMAL,255
185783,NIGHT,10,0,11.53,0.271,3.126,0,NORMAL,255
186792,NIGHT,11,1,11.53,0.239,2.761,0,NORMAL,255
187802,NIGHT,10,0,11.9,0.213,2.534,0,NORMAL,255
188812,NIGHT,11,1,11.83,0.223,2.643,0,NORMAL,255
189821,NIGHT,11,1,11.88,0.26,3.093,0,NORMAL,255
190831,NIGHT,9,0,11.8,0.25,2.95,0,NORMAL,255
191841,NIGHT,11,1,11.83,0.242,2.862,0,NORMAL,255
192850,NIGHT,10,0,11.56,0.223,2.583,0,NORMAL,255
193860,NIGHT,7,0,11.56,0.242,2.797,0,NORMAL,255
194870,NIGHT,10,0,11.51,0.295,3.393,0,NORMAL,255
195879,NIGHT,8,0,11.71,0.234,2.74,0,NORMAL,255
196889,NIGHT,9,0,11.75,0.239,2.813,0,NORMAL,255
197899,NIGHT,8,0,11.85,0.218,2.586,0,NORMAL,255
198908,NIGHT,11,1,11.75,0.266,3.124,0,NORMAL,255
199918,NIGHT,11,1,11.53,0.258,2.974,0,NORMAL,255
200928,NIGHT,11,1,11.58,0.237,2.742,0,NORMAL,255
201937,NIGHT,8,0,11.8,0.26,3.074,0,NORMAL,255
202947,NIGHT,10,0,11.73,0.258,3.024,0,NORMAL,255
203957,NIGHT,11,1,11.63,0.276,3.214,0,NORMAL,255
204966,NIGHT,12,1,11.78,0.271,3.192,0,NORMAL,255
205977,NIGHT,11,1,11.75,0.287,3.372,0,NORMAL,255
206986,NIGHT,11,1,11.78,0.242,2.85,0,NORMAL,255
207995,NIGHT,9,0,11.88,0.25,2.968,0,NORMAL,255
209005,NIGHT,9,0,11.85,0.229,2.711,0,NORMAL,255
210015,NIGHT,10,0,11.83,0.255,3.018,0,NORMAL,255
